,DATE,TICKER,PRICE,RSI,ACTION,PROFIT
0,2020-08-05,LIVX,3.15,27.48,BUY,0
1,2020-08-21,SNE,78.75,20.09,BUY,0
2,2020-08-07,TCEHY,67.22,28.79,BUY,0
3,2020-08-18,SFTBY,29.53,22.86,BUY,0
4,2020-08-10,GOOGL,1496.82,28.45,BUY,0
5,2020-08-04,GOOG,1464.97,29.59,BUY,0
6,2020-08-06,LLNW,6.46,26.83,BUY,0
7,2020-08-11,WIX,268.59,29.1,BUY,0
8,2020-08-13,PING,32.35,21.42,BUY,0
9,2020-08-17,UBER,29.48,24.28,BUY,0
10,2020-08-10,SPLK,197.9,29.03,BUY,0
11,2020-08-27,TTWO,172.67,29.19,BUY,0
12,2020-08-06,NOW,430.33,28.08,BUY,0
13,2020-08-10,TWLO,250.05,28.76,BUY,0
14,2020-08-10,NET,36.99,24.46,BUY,0
15,2020-08-07,CRWD,101.75,25.22,BUY,0
16,2020-08-07,AYX,121.38,11.67,BUY,0
17,2020-08-21,UPWK,14.75,22.99,BUY,0
18,2020-08-31,GD,149.35,28.98,BUY,0
19,2020-08-17,INSG,12.15,28.98,BUY,0
20,2020-08-07,DBX,20.69,21.11,BUY,0
21,2020-08-24,ROKU,148.58,24.53,BUY,0
22,2020-08-07,TEAM,170.93,20.18,BUY,0
23,2020-08-03,LYFT,29.09,17.75,BUY,0
24,2020-08-10,OKTA,199.66,23.76,BUY,0
25,2020-08-21,ERIC,11.4,26.03,BUY,0
26,2020-08-24,FSLY,84.21,25.38,BUY,0
27,2020-08-07,MDB,199.65,29.25,BUY,0
28,2020-08-10,DOCU,198.38,28.65,BUY,0
29,2020-08-11,TDOC,183.75,25.25,BUY,0
30,2020-08-13,CSCO,42.72,18.34,BUY,0
31,2020-08-07,WORK,28.95,20.84,BUY,0
32,2020-08-07,DDOG,75.28,16.02,BUY,0
33,2020-08-17,NTNX,21.16,28.66,BUY,0
34,2020-08-10,ZM,250.0,28.01,BUY,0
35,2020-08-28,W,310.94,29.8,BUY,0
36,2020-08-07,SONO,13.7,27.59,BUY,0
37,2020-08-06,EBAY,54.92,28.92,BUY,0
38,2020-08-14,IQ,19.26,19.24,BUY,0
39,2020-08-03,INTC,47.97,16.83,BUY,0
40,2020-08-21,T,29.69,22.65,BUY,0
41,2020-08-10,ORCL,54.94,24.93,BUY,0
42,2020-08-13,HPE,9.61,23.46,BUY,0
43,2020-08-21,IBM,123.16,28.03,BUY,0
44,2020-08-03,SABR,7.64,27.96,BUY,0
45,2020-08-11,APPN,48.6,27.29,BUY,0
46,2020-08-25,BB,4.78,27.54,BUY,0
47,2020-08-19,TRVG,1.75,27.62,BUY,0
48,2020-08-17,KODK,7.64,4.58,BUY,0
49,2020-08-27,IDEX,1.29,21.4,BUY,0
50,2020-08-17,MARK,1.35,29.7,BUY,0
51,2020-08-14,TEUM,0.73,22.73,BUY,0
52,2020-08-24,IZEA,1.1,17.28,BUY,0
53,2020-08-14,INUV,0.5,18.21,BUY,0
54,2020-08-20,NXTD,0.42,21.17,BUY,0
55,2020-08-04,BKYI,0.71,17.35,BUY,0
56,2020-08-11,WTRH,4.49,23.32,BUY,0
57,2020-08-27,GRUB,73.46,21.95,BUY,0
58,2020-08-18,CAN,2.01,17.5,BUY,0
59,2020-08-21,MGI,3.15,16.03,BUY,0
60,2020-08-06,APRN,8.93,20.86,BUY,0
61,2020-08-28,TCEHY,70.32,75.11,SELL,3.0999999999999943
62,2020-08-26,SFTBY,31.64,80.4,SELL,2.1099999999999994
63,2020-08-31,GOOGL,1629.53,75.28,SELL,132.71000000000004
64,2020-08-31,GOOG,1634.18,75.05,SELL,169.21000000000004
65,2020-08-31,UBER,33.63,70.83,SELL,4.150000000000002
66,2020-08-31,SPLK,219.33,87.25,SELL,21.430000000000007
67,2020-08-31,NOW,482.02,76.71,SELL,51.69
68,2020-08-31,TWLO,269.76,76.19,SELL,19.70999999999998
69,2020-08-31,CRWD,125.73,97.03,SELL,23.980000000000004
70,2020-08-28,UPWK,15.05,71.61,SELL,0.3000000000000007
71,2020-08-31,DBX,21.17,78.1,SELL,0.4800000000000004
72,2020-08-31,ROKU,173.48,83.96,SELL,24.899999999999977
73,2020-08-31,TEAM,191.76,90.05,SELL,20.829999999999984
74,2020-08-06,LYFT,32.34,77.18,SELL,3.2500000000000036
75,2020-08-26,ERIC,12.01,71.4,SELL,0.6099999999999994
76,2020-08-31,FSLY,92.84,75.99,SELL,8.63000000000001
77,2020-08-31,MDB,233.8,82.43,SELL,34.150000000000006
78,2020-08-31,DOCU,223.0,84.5,SELL,24.620000000000005
79,2020-08-31,WORK,32.84,85.77,SELL,3.890000000000004
80,2020-08-26,DDOG,86.28,74.85,SELL,11.0
81,2020-08-31,NTNX,28.71,84.9,SELL,7.550000000000001
82,2020-08-31,ZM,325.1,91.64,SELL,75.10000000000002
83,2020-08-21,EBAY,58.04,78.13,SELL,3.1199999999999974
84,2020-08-28,IQ,21.43,74.84,SELL,2.169999999999998
85,2020-08-28,INTC,50.43,84.89,SELL,2.460000000000001
86,2020-08-28,ORCL,57.88,77.43,SELL,2.940000000000005
87,2020-08-06,SABR,8.28,83.3,SELL,0.6399999999999997
88,2020-08-31,APPN,61.24,93.32,SELL,12.64
89,2020-08-31,BB,5.22,81.44,SELL,0.4399999999999995
90,2020-08-12,BKYI,0.79,78.14,SELL,0.08000000000000007
