Ticker,14 Day SMA,28 Day SMA,14 Day EMA,28 Day EMA,RSI,MFI,Buy Signal
M,6.5,5.92,6.86,6.39,58.64,36.12,True
FDX,126.83,121.87,129.27,124.94,80.71,71.5,True
STZ,173.97,168.37,173.24,168.87,73.56,76.01,True
GIS,61.36,61.01,61.47,60.75,63.03,44.64,False
UXIN,1.47,1.45,1.51,1.49,63.18,56.59,True
FLR,11.77,10.84,11.94,10.98,46.35,40.17,True
CAG,33.55,33.62,33.68,33.36,72.76,55.93,False
CPRI,16.43,15.26,16.99,15.79,58.26,38.33,True
FIZZ,56.2,53.6,56.06,54.02,67.29,75.86,True
CDMO,5.83,5.94,6.03,5.81,85.23,90.14,True
TLK,21.76,21.41,21.97,21.5,72.08,63.2,True
SCS,11.93,11.19,11.95,11.44,31.91,24.58,True
GBX,22.02,19.25,22.37,20.46,52.34,42.42,True
IMAB,23.5,20.33,22.84,20.82,56.79,81.52,False
HTHT,34.63,33.91,35.4,33.99,33.6,47.21,True
SCHN,15.88,15.3,16.05,15.42,51.07,55.71,True
KFY,30.79,29.12,30.93,29.73,63.09,64.76,True
AYI,90.57,86.38,92.43,88.99,41.44,25.68,True
UNF,178.56,170.47,179.42,173.06,60.82,38.63,True
MEI,31.6,30.1,32.22,30.7,36.65,15.17,True
CHYHY,23.66,22.9,23.46,22.83,60.85,59.8,False
LNN,94.34,91.03,95.21,93.0,68.91,32.57,True
